Date Collected ,Species ,Bag_Number,End_Mass,MassPlusBag,MassPlusBagDried,Week_Collected ,Shore_or_Water,Tag Number,ground,notes,inital dried massplusbag
8/24/23,Fluitans,25,13.723,16.136,4.45,One,Shore,G60,yes,,
8/24/23,Natans 8,25,31.027,32.764,6.819,One,Shore,G96,yes,,
8/24/23,Fluitans,21,8.412,9.979,6.9,One,Shore,G57,yes,,
8/24/23,Natans 1,15,14.397,16.231,5.178,One,Shore,G601,yes,,
8/24/23,Natans 8,21,19.238,21.022,7.348,One,Shore,G95,yes,bag labeled week 1,
8/24/23,Fluitans,24,8.541,10.367,7.619,One,Shore,G59,yes,final says week 1,
8/24/23,Natans 8,24,7.833,9.633,7.503,One,Shore,G89,yes,final says week 1,
8/24/23,Natans 1,18,12.392,14.19,7.336,One,Shore,G37,yes,,
8/30/23,Natans 1,7,13.172,13.904,5.126,Three,Water,G14,yes,,
8/30/23,Fluitans,7,13.667,16.066,5.421,Three,Water,G05,yes,,
8/30/23,Natans 8,7,32.848,35.206,9.846,Three,Water,G76,yes,,
8/30/23,Fluitans,11,7.656,10.075,4.307,Three,Water,G40,yes,,
8/30/23,Natans 8,11,26.53,28.933,8.592,Three,Water,G72,yes,,
8/30/23,Natans 8,5,21.874,24.288,7.335,Three,Water,G16,yes,,
8/30/23,Fluitans,5,14.744,17.153,5.81,Three,Water,G11,yes,,
8/30/23,Natans 1,5,2.458,4.866,2.992,Three,Water,G56,yes,,
8/30/23,Natans 8,11,5.292,7.687,7.247,Three,Shore,B74,yes,removed sand reweighed,6.976
8/30/23,Fluitans,11,5.918,8.335,7.621,Three,Shore,B72,yes,,
8/30/23,Fluitans,2,5.065,7.445,6.72,Three,Shore,B79,yes,removed sand reweighed,6.899
8/30/23,Natans 8,2,5.036,7.434,6.82,Three,Shore,B71,yes,,
8/30/23,Natans 1,2,4.792,7.177,6.601,Three,Shore,B29,yes,,
8/31/23,Natans 8,22,7.558,9.896,9.271,Two,Shore,G38,yes,,
8/31/23,Natans 1,16,6.34,8.753,7.214,Two,Shore,G99,yes,,
8/31/23,Fluitans,22,5.787,8.177,6.733,Two,Shore,G55,yes,,
8/31/23,Natans 8,19,5.336,7.748,7.101,Two,Shore,G36,yes,,
8/31/23,Fluitans,19,4.471,6.86,6.465,Two,Shore,G81,yes,,
8/31/23,Natans 1,13,4.33,6.715,6.171,Two,Shore,G6,yes,,
8/31/23,Fluitans,24,7.375,9.79,4.063,Two,Water,B54,yes,,
8/31/23,Natans 8,24,42.344,44.798,12.28,Two,Water,B43,yes,,
8/31/23,Natans 1,18,5.977,8.375,3.915,Two,Water,B45,yes,,
8/31/23,Fluitans,28,24.956,27.332,7.817,Two,Water,B10,yes,,
8/31/23,Fluitans,26,19.733,22.082,6.344,Two,Water,B86,yes,,
8/31/23,Natans 8,26,37.371,39.742,10.608,Two,Water,B50,yes,,
8/31/23,Natans 8,20,32.06,34.435,9.312,Two,Water,B56,yes,,
8/31/23,Natans 1,14,11.754,14.128,5.205,Two,Water,B47,yes,,
8/31/23,Fluitans,20,10.562,12.927,4.63,Two,Water,B96,yes,,
8/31/23,Fluitans,18,6.029,8.264,3.705,Two,Water,B98,yes,,
8/31/23,Natans 8,18,36.498,38.849,10.301,Two,Water,B57,yes,,
8/31/23,Natans 1,12,2.235,4.611,2.92,Two,Water,B52,yes,,
9/7/23,Natans 1,17,5.318,8.047,7.306,Three,Shore,G100,yes,,
9/7/23,Natans 8,23,5.369,8.139,7.253,Three,Shore,G87,yes,,
9/7/23,Fluitans,23,5.128,7.875,6.905,Three,Shore,G58,yes,removed sand reweighed,7.231
9/7/23,Fluitans,29,15.203,17.857,5.954,Three,Water,B87,,redried,5.954
9/7/23,Fluitans,17,7.371,10.125,7.049,Three,Water,B99,yes,,
9/7/23,Natans 1,11,5.018,7.71,3.959,Three,Water,B59,yes,,
9/7/23,Natans 8,17,33.366,36.072,10.522,Three,Water,B30,yes,,
9/7/23,Fluitans,25,13.379,16.129,5.973,Three,Water,B83,yes,,
9/7/23,Natans 8,25,34.918,37.616,10.885,Three,Water,B53,yes,,
9/7/23,Natans 1,13,4.235,6.961,3.783,Three,Water,B12,yes,,
9/7/23,Fluitans,19,3.812,6.578,3.679,Three,Water,B97,yes,,
9/7/23,Natans 8,19,23.94,26.65,7.968,Three,Water,B51,yes,,
9/7/23,Fluitans,22,7.198,9.896,4.686,Three,Water,B24,yes,,
9/7/23,Natans 1,16,3.561,6.312,3.722,Three,Water,B46,yes,,
9/7/23,Natans 8,22,33.338,36.031,10.788,Three,Water,B41,yes,,
